(house)painter	kladschilder;schilder
capitain luijtenant militair	capitain leuijtenant;capitain leytenant;capitain lieutenant;capitain lieutenant van de militie;capitain luijtenant;capitain luijtenant der militie;capitain luitenant;capiteijn luijtenand;capitein lieutenant;capitein luijtenant der militair;capitein luijtenant der militia;capitein luijtenant der militie;kapitein luitenant;kapitein-luitenant
capitain luitenant	capitain leuijtenant;capitain leytenant;capitain lieutenant;capitain lieutenant van de militie;capitain luijtenant;capitain luijtenant der militie;capitain luijtenant militair;capiteijn luijtenand;capitein lieutenant;capitein luijtenant der militair;capitein luijtenant der militia;capitein luijtenant der militie;kapitein luitenant;kapitein-luitenant
capitain miliair	cap:;capetain;capetijn der militaijre;capitaijn;capitain;capitain commandant;capitain der militie;capitain militair;capiteijn;capitein;capiteinn;capitijn;cappitain;capt:;captain;captain (military);captain der militie;captijn;kapitain;kapitijn
capitain militair	cap:;capetain;capetijn der militaijre;capitaijn;capitain;capitain commandant;capitain der militie;capitain miliair;capiteijn;capitein;capiteinn;capitijn;cappitain;capt:;captain;captain (military);captain der militie;captijn;kapitain;kapitijn
capiteijn	cap:;capetain;capetijn der militaijre;capitaijn;capitain;capitain commandant;capitain der militie;capitain miliair;capitain militair;capitein;capiteinn;capitijn;cappitain;capt:;captain;captain (military);captain der militie;captijn;kapitain;kapitijn
capiteijn luijtenand	capitain leuijtenant;capitain leytenant;capitain lieutenant;capitain lieutenant van de militie;capitain luijtenant;capitain luijtenant der militie;capitain luijtenant militair;capitain luitenant;capitein lieutenant;capitein luijtenant der militair;capitein luijtenant der militia;capitein luijtenant der militie;kapitein luitenant;kapitein-luitenant
capitein	cap:;capetain;capetijn der militaijre;capitaijn;capitain;capitain commandant;capitain der militie;capitain miliair;capitain militair;capiteijn;capiteinn;capitijn;cappitain;capt:;captain;captain (military);captain der militie;captijn;kapitain;kapitijn
capitein lieutenant	capitain leuijtenant;capitain leytenant;capitain lieutenant;capitain lieutenant van de militie;capitain luijtenant;capitain luijtenant der militie;capitain luijtenant militair;capitain luitenant;capiteijn luijtenand;capitein luijtenant der militair;capitein luijtenant der militia;capitein luijtenant der militie;kapitein luitenant;kapitein-luitenant
capitein luijtenant der militair	capitain leuijtenant;capitain leytenant;capitain lieutenant;capitain lieutenant van de militie;capitain luijtenant;capitain luijtenant der militie;capitain luijtenant militair;capitain luitenant;capiteijn luijtenand;capitein lieutenant;capitein luijtenant der militia;capitein luijtenant der militie;kapitein luitenant;kapitein-luitenant
capitein luijtenant der militia	capitain leuijtenant;capitain leytenant;capitain lieutenant;capitain lieutenant van de militie;capitain luijtenant;capitain luijtenant der militie;capitain luijtenant militair;capitain luitenant;capiteijn luijtenand;capitein lieutenant;capitein luijtenant der militair;capitein luijtenant der militie;kapitein luitenant;kapitein-luitenant
